date,Y1,Y2,Y3,Y4,Y5,Y6,Y7,close
2016/4/12,-0.480106,-1.498625,-0.912723,1.259526,0.578028,-0.100232,-0.499799,3023.65
2016/4/13,0.050363,-1.242065,-0.614364,1.509184,0.238639,0.570319,-0.63919,3066.64
2016/4/14,-0.215597,-1.354669,-0.803448,1.286322,0.570577,-0.007581,-0.605706,3082.36
2016/4/15,-0.217936,-1.372677,-0.857974,1.245428,0.63559,-0.067456,-0.599077,3078.12
2016/4/18,-0.349742,-1.456614,-0.942394,1.219052,0.700072,-0.028966,-0.557682,3033.66
2016/4/19,-0.505091,-1.507222,-0.939085,1.156334,0.814517,-0.193915,-0.538159,3042.82
2016/4/20,-0.295671,-1.360791,-0.725345,1.456297,0.384739,0.6215,-0.601988,2972.58
2016/4/21,-0.672718,-1.557592,-0.822284,1.252739,0.699745,0.024193,-0.533011,2952.89
2016/4/22,-1.233609,-1.657798,-1.092602,1.142239,0.848415,-0.202998,-0.468889,2959.24
2016/4/25,-0.708607,-1.686012,-0.909329,1.072614,0.937544,-0.343966,-0.522713,2946.67
2016/4/26,-1.054288,-1.692634,-1.078231,1.045784,0.96033,-0.298394,-0.488917,2964.7
